Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
contact-lenses,1,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,21.0,3.0,2.0,1.0,0.0,66.66666666666667,33.333333333333336,0.0,0.49999999999999994,0.2222222222222222,0.4714045207910317,49.99999999999999,91.56571124598189,5.526068811667588,1074.0,-1068.4739311883325,1.8420229372225292,358.0,-356.1579770627775,2.678071905112638,0.892690635037546,48.46251460818279,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.5,0.75,0.5,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,NaN,0.6666666666666666,NaN,NaN,0.75,0.611111111111111,NaN,0.6666666666666666,0.0,0.0,3.5999999999999994E-5,1.4999999999999999E-5,0.036,0.015,1339.0,3176.0,1934.0,66.66666666666667,33.333333333333336,?,?,?,?
contact-lenses,1,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,21.0,3.0,2.0,1.0,0.0,66.66666666666667,33.333333333333336,0.0,0.49999999999999994,0.2222222222222222,0.4714045207910317,49.99999999999999,91.56571124598189,5.526068811667588,1074.0,-1068.4739311883325,1.8420229372225292,358.0,-356.1579770627775,2.678071905112638,0.892690635037546,48.46251460818279,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.5,0.75,0.5,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,NaN,0.6666666666666666,NaN,NaN,0.75,0.611111111111111,NaN,0.6666666666666666,0.0,0.0,4.2000000000000004E-5,1.2E-5,0.042,0.012,1339.0,3176.0,1934.0,66.66666666666667,33.333333333333336,?,?,?,?
contact-lenses,1,3,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,21.0,3.0,2.0,1.0,0.0,66.66666666666667,33.333333333333336,0.0,0.49999999999999994,0.2222222222222222,0.4714045207910317,49.99999999999999,91.56571124598189,5.526068811667588,1074.0,-1068.4739311883325,1.8420229372225292,358.0,-356.1579770627775,2.678071905112638,0.892690635037546,48.46251460818279,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.5,0.75,0.5,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,NaN,0.6666666666666666,NaN,NaN,0.75,0.611111111111111,NaN,0.6666666666666666,0.0,0.0,2.7E-5,1.0E-5,0.027,0.01,1339.0,3176.0,1934.0,66.66666666666667,33.333333333333336,?,?,?,?
contact-lenses,1,4,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,21.0,3.0,2.0,1.0,0.0,66.66666666666667,33.333333333333336,0.0,0.49999999999999994,0.2222222222222222,0.4714045207910317,49.99999999999999,91.56571124598189,5.526068811667588,1074.0,-1068.4739311883325,1.8420229372225292,358.0,-356.1579770627775,2.678071905112638,0.892690635037546,48.46251460818279,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.5,0.75,0.5,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,NaN,0.6666666666666666,NaN,NaN,0.75,0.611111111111111,NaN,0.6666666666666666,0.0,0.0,2.7E-5,1.0E-5,0.027,0.01,1339.0,3176.0,1934.0,66.66666666666667,33.333333333333336,?,?,?,?
contact-lenses,1,5,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,22.0,2.0,1.0,1.0,0.0,50.0,50.0,0.0,0.0,0.3333333333333333,0.5773502691896257,113.63636363636364,185.3123291652753,1.673002535434241,1074.0,-1072.3269974645657,0.8365012677171205,537.0,-536.1634987322828,-0.3479233034203072,-0.1739616517101536,-20.796340474762097,NaN,0.0,0.5,1.0,0.5,1.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,0.5,1.0,0.5,0.6666666666666666,NaN,NaN,1.0,0.6666666666666666,0.5,0.0,0.0,2.5E-5,1.1E-5,0.025,0.011,1339.0,3245.0,1865.0,50.0,33.33333333333333,?,?,?,?
contact-lenses,1,6,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,22.0,2.0,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.673002535434241,0.0,1.673002535434241,0.8365012677171205,0.0,0.8365012677171205,1.673002535434241,0.8365012677171205,100.0,NaN,0.0,0.0,0.0,1.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,0.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,0.0,0.0,2.5E-5,7.0E-6,0.025,0.007,1339.0,3245.0,1865.0,100.0,33.33333333333333,?,?,?,?
contact-lenses,1,7,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,22.0,2.0,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.673002535434241,0.0,1.673002535434241,0.8365012677171205,0.0,0.8365012677171205,1.673002535434241,0.8365012677171205,100.0,NaN,0.0,0.0,0.0,1.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,0.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,0.0,0.0,2.5E-5,7.0E-6,0.025,0.007,1339.0,3245.0,1865.0,100.0,33.33333333333333,?,?,?,?
contact-lenses,1,8,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,22.0,2.0,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.673002535434241,0.0,1.673002535434241,0.8365012677171205,0.0,0.8365012677171205,1.673002535434241,0.8365012677171205,100.0,NaN,0.0,0.0,0.0,1.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,0.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,0.0,0.0,2.4E-5,7.0E-6,0.024,0.007,1339.0,3245.0,1865.0,100.0,33.33333333333333,?,?,?,?
contact-lenses,1,9,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,22.0,2.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.6666666666666666,0.816496580927726,227.27272727272728,262.07120918047957,1.673002535434241,2148.0,-2146.326997464566,0.8365012677171205,1074.0,-1073.163498732283,-2.3688491422748554,-1.1844245711374277,-141.5926809495242,NaN,0.0,1.0,2.0,0.0,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,1.0,NaN,0.0,NaN,NaN,NaN,1.0,NaN,0.0,0.0,0.0,2.6E-5,8.999999999999999E-6,0.026,0.009,1339.0,3245.0,1865.0,0.0,33.33333333333333,?,?,?,?
contact-lenses,1,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,22.0,2.0,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0588936890535683,0.0,3.0588936890535683,1.5294468445267841,0.0,1.5294468445267841,3.0588936890535683,1.5294468445267841,100.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.5E-5,8.0E-6,0.025,0.008,1339.0,3245.0,1865.0,100.0,33.33333333333333,?,?,?,?
